System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
22:07:23:654, 270960217781,    0.110,    3.000, 4800,  14.548,   1.594,   0.443,  12.444,   1.363,   0.379, 41,  0,   1.363,   0.149,   0.041, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:23:762, 271370229459,    0.218,    1.000, 4700,  10.803,   2.762,   0.767,   8.463,   2.278,   0.633, 39,  0,   1.299,   0.290,   0.081, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:23:879, 271815168389,    0.335,    7.000, 4700,  13.517,   4.348,   1.208,  11.417,   3.618,   1.005, 43,  0,   1.345,   0.448,   0.124, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:23:990, 272233404519,    0.445,    3.000, 4800,  16.676,   6.187,   1.719,  14.544,   5.222,   1.451, 42,  0,   1.309,   0.592,   0.164, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:101, 272653371771,    0.556,    2.000, 4800,  12.259,   7.545,   2.096,  10.093,   6.340,   1.761, 39,  0,   1.215,   0.727,   0.202, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:207, 273057129099,    0.663,    1.000, 4800,  10.070,   8.617,   2.394,   8.067,   7.199,   2.000, 42,  0,   1.262,   0.861,   0.239, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:316, 273471125123,    0.772,    3.000, 4800,  15.878,  10.351,   2.875,  13.399,   8.662,   2.406, 41,  0,   1.390,   1.013,   0.281, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:423, 273877386932,    0.879,    2.000, 4800,  15.564,  12.018,   3.338,  13.477,  10.106,   2.807, 40,  0,   1.469,   1.170,   0.325, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:533, 274290919385,    0.988,    2.000, 4700,  14.745,  13.626,   3.785,  12.544,  11.474,   3.187, 43,  0,   1.332,   1.315,   0.365, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:637, 274689885854,    1.093,    4.000, 4800,  18.948,  15.620,   4.339,  16.856,  13.247,   3.680, 41,  0,   1.362,   1.459,   0.405, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:746, 275100090897,    1.201,    4.000, 4700,  22.116,  18.012,   5.003,  19.873,  15.397,   4.277, 43,  0,   1.446,   1.615,   0.449, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:859, 275528292318,    1.314,    5.000, 4700,  22.678,  20.573,   5.715,  20.546,  17.717,   4.921, 44,  0,   1.467,   1.781,   0.495, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:24:965, 275930369321,    1.420,    6.000, 4700,  27.962,  23.538,   6.538,  25.786,  20.451,   5.681, 47,  0,   1.443,   1.934,   0.537, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:074, 276343758457,    1.529,    5.000, 4700,  23.523,  26.102,   7.251,  21.385,  22.783,   6.328, 48,  0,   1.399,   2.086,   0.579, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:184, 276763061861,    1.640,    4.000, 4700,  18.154,  28.109,   7.808,  15.834,  24.533,   6.815, 40,  0,   1.496,   2.251,   0.625, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:294, 277179183938,    1.750,    1.000, 4800,  10.012,  29.208,   8.113,   7.946,  25.405,   7.057, 44,  0,   1.244,   2.388,   0.663, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:403, 277591786904,    1.858,    1.000, 4800,  10.601,  30.362,   8.434,   8.403,  26.320,   7.311, 43,  0,   1.280,   2.527,   0.702, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:512, 278003736189,    1.967,    1.000, 4900,   8.249,  31.258,   8.683,   6.048,  26.977,   7.494, 40,  0,   1.212,   2.659,   0.739, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:621, 278421346594,    2.077,    0.000, 4900,   6.261,  31.947,   8.874,   4.125,  27.431,   7.620, 45,  0,   1.166,   2.787,   0.774, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:744, 278886509409,    2.200,    3.000, 4800,  20.868,  34.507,   9.585,  18.664,  29.721,   8.256, 40,  0,   1.356,   2.954,   0.820, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:853, 279296736023,    2.308,    3.000, 4700,  15.508,  36.185,  10.051,  13.327,  31.162,   8.656, 46,  0,   1.424,   3.108,   0.863, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:25:960, 279704561822,    2.416,    3.000, 4700,  16.555,  37.965,  10.546,  14.456,  32.717,   9.088, 40,  0,   1.516,   3.271,   0.909, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:068, 280115549451,    2.524,    2.000, 4800,  14.730,  39.562,  10.989,  12.455,  34.067,   9.463, 40,  0,   1.452,   3.428,   0.952, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:176, 280522922907,    2.631,    3.000, 4800,  19.049,  41.608,  11.558,  16.833,  35.875,   9.965, 41,  0,   1.528,   3.592,   0.998, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:284, 280933206731,    2.740,    4.000, 4800,  20.004,  43.773,  12.159,  18.057,  37.829,  10.508, 44,  0,   1.554,   3.760,   1.045, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:395, 281355558413,    2.851,    6.000, 4700,  31.304,  47.259,  13.128,  28.949,  41.053,  11.404, 45,  0,   1.227,   3.897,   1.083, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:507, 281776220713,    2.962,    5.000, 4700,  29.146,  50.492,  14.026,  26.930,  44.041,  12.234, 42,  0,   1.311,   4.042,   1.123, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:607, 282156120428,    3.062,    5.000, 4700,  28.409,  53.339,  14.816,  26.350,  46.681,  12.967, 44,  0,   1.168,   4.159,   1.155, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:717, 282574706393,    3.172,    3.000, 4700,  17.340,  55.253,  15.348,  15.156,  48.354,  13.432, 41,  0,   1.616,   4.338,   1.205, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:834, 283018037004,    3.289,    2.000, 4800,  14.926,  56.998,  15.833,  12.794,  49.849,  13.847, 40,  0,   1.517,   4.515,   1.254, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:26:940, 283419096081,    3.395,    5.000, 4700,  25.294,  59.673,  16.576,  23.127,  52.296,  14.527, 44,  0,   1.399,   4.663,   1.295, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:047, 283828727669,    3.503,    4.000, 4700,  25.301,  62.406,  17.335,  23.083,  54.789,  15.219, 41,  0,   1.322,   4.806,   1.335, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:158, 284247171517,    3.613,    3.000, 4800,  17.013,  64.283,  17.856,  14.959,  56.440,  15.678, 42,  0,   1.500,   4.972,   1.381, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:261, 284639138201,    3.717,    5.000, 4700,  26.845,  67.058,  18.627,  24.402,  58.962,  16.378, 45,  0,   1.609,   5.138,   1.427, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:378, 285081122913,    3.833,    6.000, 4700,  28.990,  70.437,  19.566,  26.991,  62.108,  17.252, 47,  0,   1.213,   5.279,   1.466, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:488, 285496831453,    3.943,    5.000, 4700,  27.068,  73.405,  20.390,  24.860,  64.833,  18.009, 47,  0,   1.261,   5.418,   1.505, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:596, 285906464515,    4.051,    3.000, 4700,  19.916,  75.556,  20.988,  17.698,  66.745,  18.540, 42,  0,   1.519,   5.582,   1.550, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:701, 286305639103,    4.156,    4.000, 4700,  19.990,  77.660,  21.572,  17.865,  68.626,  19.063, 41,  0,   1.633,   5.754,   1.598, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:809, 286713561895,    4.264,    3.000, 4700,  19.270,  79.733,  22.148,  16.942,  70.448,  19.569, 41,  0,   1.595,   5.925,   1.646, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:27:922, 287143907171,    4.377,    3.000, 4800,  17.132,  81.678,  22.688,  14.918,  72.142,  20.039, 40,  0,   1.497,   6.095,   1.693, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:030, 287555090667,    4.486,    1.000, 4800,   9.778,  82.738,  22.983,   7.600,  72.966,  20.268, 41,  0,   1.256,   6.231,   1.731, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:139, 287966315583,    4.594,    1.000, 4900,   8.866,  83.699,  23.250,   6.684,  73.690,  20.470, 41,  0,   1.216,   6.363,   1.768, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:248, 288381546763,    4.704,    1.000, 4900,   8.895,  84.673,  23.520,   6.741,  74.429,  20.675, 39,  0,   1.214,   6.496,   1.804, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:356, 288790509843,    4.812,    1.000, 4900,   9.078,  85.652,  23.792,   6.857,  75.168,  20.880, 40,  0,   1.228,   6.629,   1.841, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:479, 289256850391,    4.935,    1.000, 4900,   9.750,  86.852,  24.125,   7.578,  76.100,  21.139, 40,  0,   1.244,   6.782,   1.884, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:580, 289638634597,    5.035,    1.000, 4800,  11.134,  87.973,  24.437,   9.114,  77.018,  21.394, 40,  0,   1.269,   6.909,   1.919, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:695, 290076687297,    5.151,    2.000, 4800,  12.820,  89.453,  24.848,  10.592,  78.241,  21.734, 39,  0,   1.354,   7.066,   1.963, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:802, 290483801015,    5.258,    1.000, 4800,  10.012,  90.528,  25.147,   7.919,  79.091,  21.970, 40,  0,   1.268,   7.202,   2.001, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:28:912, 290897374203,    5.367,    2.000, 4800,  12.858,  91.931,  25.536,  10.640,  80.252,  22.292, 40,  0,   1.351,   7.349,   2.041, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:29:019, 291303390235,    5.474,    1.000, 4700,   9.634,  92.962,  25.823,   7.481,  81.053,  22.515, 39,  0,   1.239,   7.482,   2.078, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:29:128, 291717253537,    5.583,    1.000, 4800,   8.966,  93.941,  26.095,   6.816,  81.797,  22.721, 40,  0,   1.228,   7.616,   2.116, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:29:235, 292122274048,    5.690,    1.000, 4700,  10.075,  95.017,  26.394,   7.921,  82.643,  22.956, 39,  0,   1.236,   7.748,   2.152, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:29:344, 292535022371,    5.799,    1.000, 4700,  10.520,  96.162,  26.712,   8.267,  83.543,  23.206, 39,  0,   1.277,   7.887,   2.191, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:29:454, 292952083447,    5.909,    1.000, 4800,  11.658,  97.444,  27.068,   9.420,  84.579,  23.494, 39,  0,   1.307,   8.031,   2.231, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:29:561, 293359355251,    6.016,    2.000, 4700,  12.886,  98.828,  27.452,  10.974,  85.757,  23.821, 42,  0,   1.308,   8.171,   2.270, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:29:672, 293780834455,    6.128,    4.000, 4700,  20.750, 101.134,  28.093,  18.283,  87.789,  24.386, 41,  0,   1.547,   8.343,   2.318, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:29:777, 294177724285,    6.232,    3.000, 4700,  19.309, 103.155,  28.654,  17.254,  89.595,  24.888, 43,  0,   1.492,   8.499,   2.361, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:29:890, 294605432647,    6.345,    7.000, 4700,  34.934, 107.096,  29.749,  32.796,  93.294,  25.915, 44,  0,   1.348,   8.651,   2.403, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:29:998, 295018710113,    6.454,    5.000, 4700,  31.941, 110.577,  30.716,  29.756,  96.537,  26.816, 43,  0,   1.204,   8.783,   2.440, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:30:109, 295436926379,    6.564,    4.000, 4700,  21.122, 112.906,  31.363,  18.942,  98.627,  27.396, 42,  0,   1.562,   8.955,   2.487, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:30:218, 295848816435,    6.673,    4.000, 4700,  19.877, 115.065,  31.963,  17.599, 100.538,  27.927, 43,  0,   1.571,   9.126,   2.535, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:30:325, 296259458085,    6.781,    3.000, 4800,  18.364, 117.054,  32.515,  16.307, 102.304,  28.418, 43,  0,   1.553,   9.294,   2.582, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:30:433, 296667453357,    6.889,    5.000, 4700,  29.428, 120.220,  33.395,  27.149, 105.225,  29.229, 44,  0,   1.480,   9.453,   2.626, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:30:544, 297085479166,    6.999,    5.000, 4700,  29.556, 123.479,  34.300,  27.457, 108.252,  30.070, 44,  0,   1.374,   9.604,   2.668, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:30:655, 297505772713,    7.110,    3.000, 4700,  15.997, 125.252,  34.792,  13.809, 109.782,  30.495, 41,  0,   1.465,   9.767,   2.713, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:30:763, 297915403850,    7.218,    4.000, 4800,  23.142, 127.752,  35.487,  20.929, 112.043,  31.123, 46,  0,   1.511,   9.930,   2.758, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:30:883, 298373725731,    7.339,    7.000, 4700,  32.619, 131.694,  36.582,  30.399, 115.717,  32.144, 45,  0,   1.388,  10.098,   2.805, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:30:982, 298745836593,    7.437,    7.000, 4700,  30.531, 134.690,  37.414,  28.384, 118.503,  32.917, 45,  0,   1.529,  10.248,   2.847, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:31:093, 299167358935,    7.548,    5.000, 4700,  23.754, 137.331,  38.147,  21.623, 120.906,  33.585, 53,  0,   1.601,  10.426,   2.896, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:31:201, 299578702517,    7.657,    7.000, 4700,  25.955, 140.146,  38.930,  23.878, 123.497,  34.305, 42,  0,   1.520,  10.591,   2.942, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:31:310, 299989607768,    7.765,    5.000, 4700,  22.273, 142.560,  39.600,  19.853, 125.648,  34.902, 42,  0,   1.777,  10.783,   2.995, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:31:418, 300401239807,    7.874,    3.000, 4700,  17.455, 144.455,  40.126,  15.321, 127.311,  35.364, 42,  0,   1.565,  10.953,   3.043, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:31:542, 300869648089,    7.997,    4.000, 4700,  20.726, 147.015,  40.837,  18.495, 129.596,  35.999, 41,  0,   1.559,  11.146,   3.096, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:31:651, 301284459418,    8.106,    5.000, 4700,  23.263, 149.560,  41.544,  21.125, 131.906,  36.641, 42,  0,   1.377,  11.297,   3.138, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:31:760, 301697121240,    8.215,    3.000, 4700,  15.585, 151.256,  42.015,  13.445, 133.370,  37.047, 41,  0,   1.462,  11.456,   3.182, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:31:868, 302108053997,    8.324,    1.000, 4800,  10.769, 152.423,  42.340,   8.505, 134.291,  37.303, 40,  0,   1.309,  11.597,   3.222, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:31:977, 302520999993,    8.433,    3.000, 4800,  17.740, 154.354,  42.876,  15.641, 135.995,  37.776, 40,  0,   1.311,  11.740,   3.261, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:32:086, 302934952447,    8.542,    4.000, 4800,  22.840, 156.848,  43.569,  20.560, 138.239,  38.400, 41,  0,   1.396,  11.893,   3.303, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:32:195, 303348983291,    8.651,    3.000, 4700,  17.448, 158.753,  44.098,  15.326, 139.912,  38.865, 43,  0,   1.501,  12.056,   3.349, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:32:304, 303762495217,    8.760,    4.000, 4800,  20.166, 160.952,  44.709,  18.064, 141.882,  39.412, 42,  0,   1.496,  12.220,   3.394, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:32:414, 304177284471,    8.869,    4.000, 4800,  19.242, 163.057,  45.293,  17.082, 143.751,  39.931, 41,  0,   1.451,  12.378,   3.438, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:32:522, 304585658791,    8.977,    3.000, 4800,  18.116, 165.008,  45.835,  15.870, 145.460,  40.405, 42,  0,   1.531,  12.543,   3.484, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:32:629, 304993631867,    9.085,    5.000, 4700,  23.867, 167.575,  46.549,  21.804, 147.806,  41.057, 45,  0,   1.439,  12.698,   3.527, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:32:738, 305407325265,    9.194,    5.000, 4700,  24.543, 170.253,  47.292,  22.164, 150.224,  41.729, 42,  0,   1.369,  12.847,   3.569, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:32:845, 305813321345,    9.301,    3.000, 4700,  18.684, 172.253,  47.848,  16.515, 151.992,  42.220, 41,  0,   1.552,  13.013,   3.615, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:32:954, 306225203735,    9.409,    2.000, 4800,  15.070, 173.890,  48.303,  12.998, 153.404,  42.612, 40,  0,   1.443,  13.170,   3.658, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:33:063, 306637489349,    9.518,    1.000, 4800,   9.944, 174.971,  48.603,   7.739, 154.245,  42.846, 40,  0,   1.259,  13.307,   3.696, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:33:172, 307051384829,    9.627,    2.000, 4700,  15.547, 176.668,  49.075,  13.442, 155.712,  43.253, 41,  0,   1.366,  13.456,   3.738, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:33:279, 307459084559,    9.735,    3.000, 4800,  18.510, 178.658,  49.627,  16.178, 157.452,  43.737, 41,  0,   1.543,  13.622,   3.784, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:33:386, 307865074423,    9.842,    3.000, 4800,  18.419, 180.630,  50.175,  16.250, 159.191,  44.220, 41,  0,   1.530,  13.786,   3.829, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:33:510, 308332233475,    9.965,    3.000, 4800,  17.649, 182.805,  50.779,  15.452, 161.095,  44.749, 42,  0,   1.528,  13.974,   3.882, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:33:617, 308740349931,   10.073,    2.000, 4700,  14.273, 184.341,  51.206,  12.047, 162.392,  45.109, 42,  0,   1.389,  14.124,   3.923, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:33:725, 309150001377,   10.181,    3.000, 4700,  18.067, 186.293,  51.748,  15.877, 164.107,  45.585, 42,  0,   1.545,  14.291,   3.970, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:33:835, 309567391673,   10.291,    3.000, 4800,  18.564, 188.336,  52.316,  16.382, 165.910,  46.086, 42,  0,   1.514,  14.457,   4.016, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:33:944, 309980501014,   10.400,    5.000, 4700,  20.380, 190.556,  52.932,  18.180, 167.890,  46.636, 41,  0,   1.593,  14.631,   4.064, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:34:052, 310390400601,   10.508,    2.000, 4700,  13.872, 192.056,  53.349,  11.741, 169.160,  46.989, 41,  0,   1.374,  14.779,   4.105, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:34:161, 310804090299,   10.617,    1.000, 4800,   8.216, 192.952,  53.598,   6.080, 169.823,  47.173, 40,  0,   1.214,  14.912,   4.142, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:34:269, 311211449399,   10.724,    1.000, 4900,   9.434, 193.966,  53.879,   7.301, 170.607,  47.391, 40,  0,   1.208,  15.042,   4.178, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:34:377, 311622800523,   10.833,    1.000, 4700,   9.858, 195.035,  54.176,   7.649, 171.437,  47.621, 39,  0,   1.244,  15.176,   4.216, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:34:485, 312031059553,   10.940,    1.000, 4900,   9.397, 196.047,  54.457,   7.324, 172.226,  47.840, 39,  0,   1.215,  15.307,   4.252, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:34:593, 312442285659,   11.049,    1.000, 4900,   9.357, 197.061,  54.739,   7.188, 173.005,  48.057, 40,  0,   1.229,  15.440,   4.289, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:34:702, 312855299975,   11.158,    1.000, 4900,   9.439, 198.089,  55.025,   7.175, 173.786,  48.274, 41,  0,   1.227,  15.574,   4.326, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:34:809, 313259348427,   11.264,    1.000, 4900,  10.018, 199.157,  55.321,   7.924, 174.631,  48.509, 39,  0,   1.239,  15.706,   4.363, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:34:932, 313725409291,   11.387,    1.000, 4800,  10.939, 200.501,  55.695,   8.823, 175.715,  48.810, 40,  0,   1.292,  15.865,   4.407, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:35:039, 314131450825,   11.494,    1.000, 4800,   9.311, 201.498,  55.972,   7.098, 176.475,  49.021, 40,  0,   1.232,  15.997,   4.444, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:35:145, 314535446057,   11.601,    3.000, 4700,  17.512, 203.364,  56.490,  15.246, 178.100,  49.472, 40,  0,   1.419,  16.148,   4.486, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:35:252, 314940035235,   11.708,    1.000, 4700,  10.955, 204.533,  56.815,   8.900, 179.049,  49.736, 40,  0,   1.311,  16.288,   4.524, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:35:361, 315354590139,   11.817,    2.000, 4800,  12.909, 205.944,  57.207,  10.619, 180.210,  50.058, 39,  0,   1.338,  16.434,   4.565, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:35:468, 315759139420,   11.924,    1.000, 4900,  10.538, 207.068,  57.519,   8.508, 181.118,  50.310, 49,  0,   1.224,  16.565,   4.601, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:35:578, 316175192047,   12.033,    0.000, 4900,   6.144, 207.742,  57.706,   3.891, 181.545,  50.429, 39,  0,   1.147,  16.691,   4.636, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:35:688, 316592965441,   12.143,    0.000, 5000,   7.448, 208.563,  57.934,   5.334, 182.132,  50.592, 39,  0,   1.150,  16.817,   4.672, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:35:797, 317005902594,   12.252,    1.000, 4800,  10.345, 209.689,  58.247,   8.303, 183.036,  50.843, 46,  0,   1.222,  16.951,   4.708, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:35:904, 317413607520,   12.360,    4.000, 4800,  15.089, 211.312,  58.698,  12.694, 184.401,  51.223, 47,  0,   1.332,  17.094,   4.748, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:36:013, 317825200086,   12.468,    1.000, 4700,   8.862, 212.274,  58.965,   6.754, 185.134,  51.426, 39,  0,   1.202,  17.224,   4.784, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:36:136, 318291553531,   12.591,    1.000, 4800,  11.087, 213.637,  59.344,   8.854, 186.223,  51.729, 39,  0,   1.259,  17.379,   4.827, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:36:244, 318700809596,   12.699,    1.000, 4700,  11.039, 214.828,  59.675,   8.886, 187.182,  51.995, 41,  0,   1.238,  17.513,   4.865, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:36:351, 319107846164,   12.807,    1.000, 4700,  11.583, 216.072,  60.020,   9.327, 188.183,  52.273, 40,  0,   1.271,  17.649,   4.902, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:36:458, 319512142830,   12.913,    1.000, 4800,   9.558, 217.091,  60.303,   7.467, 188.980,  52.494, 39,  0,   1.227,  17.780,   4.939, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:36:567, 319924350440,   13.022,    1.000, 4800,   9.157, 218.086,  60.580,   7.025, 189.743,  52.706, 39,  0,   1.236,  17.914,   4.976, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:36:673, 320327782483,   13.128,    1.000, 4900,  11.148, 219.272,  60.909,   8.995, 190.700,  52.972, 40,  0,   1.219,  18.044,   5.012, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:36:781, 320738409932,   13.237,    1.000, 4900,  10.252, 220.383,  61.217,   7.970, 191.563,  53.212, 39,  0,   1.217,  18.176,   5.049, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:36:889, 321147025571,   13.344,    4.000, 4800,  10.660, 221.531,  61.536,   8.633, 192.494,  53.470, 39,  0,   1.227,  18.308,   5.086, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:36:997, 321555391327,   13.452,    1.000, 4800,  10.952, 222.711,  61.864,   8.781, 193.439,  53.733, 40,  0,   1.322,  18.450,   5.125, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:37:119, 322019892707,   13.575,    1.000, 4900,  11.142, 224.075,  62.243,   8.840, 194.522,  54.034, 42,  0,   1.225,  18.600,   5.167, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:37:228, 322431567693,   13.683,    1.000, 4900,  10.320, 225.196,  62.554,   8.213, 195.414,  54.282, 40,  0,   1.214,  18.732,   5.203, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:37:337, 322845598964,   13.792,    1.000, 4700,  10.569, 226.350,  62.875,   8.475, 196.339,  54.539, 39,  0,   1.218,  18.865,   5.240, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:37:444, 323253783175,   13.900,    1.000, 4800,  11.212, 227.557,  63.210,   9.043, 197.312,  54.809, 39,  0,   1.227,  18.997,   5.277, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:37:554, 323668954635,   14.010,    1.000, 4800,  10.992, 228.760,  63.544,   8.850, 198.281,  55.078, 40,  0,   1.221,  19.131,   5.314, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:37:663, 324080645923,   14.118,    1.000, 4800,   9.782, 229.822,  63.839,   7.531, 199.099,  55.305, 40,  0,   1.224,  19.264,   5.351, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:37:771, 324490487991,   14.226,    1.000, 4800,  10.277, 230.933,  64.148,   8.092, 199.974,  55.548, 39,  0,   1.216,  19.395,   5.388, 250.000, 250.000, 311.000,   0.000,   0.000
22:07:37:881, 324911680577,   14.337,    6.000, 4800,  11.303, 232.188,  64.497,   9.269, 201.003,  55.834, 46,  0,   1.264,  19.536,   5.427, 250.000, 250.000, 311.000,   0.000,   0.000
