"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:05:19:007","415377240841","   0.000","  24.780"," 2628"," 2000"," 2900"," 2664","  12.161","   0.246","   0.068","   7.957","   0.161","   0.045"," 88","0"," 83"," 88","   1.118","   0.023","   0.006","  45.000","    0","    0"
"22:05:19:027","415435483652","   0.020","  36.158"," 3449"," 2800"," 3500"," 3746","  24.428","   0.736","   0.204","  20.134","   0.565","   0.157"," 92","0"," 83"," 92","   1.652","   0.056","   0.015","  45.000","    0","    0"
"22:05:19:047","415493680800","   0.040","  77.682"," 3492"," 3400"," 3500"," 3900","  38.320","   1.504","   0.418","  31.553","   1.197","   0.332"," 97","0"," 87"," 97","   2.863","   0.113","   0.031","  45.000","    0","    0"
"22:05:19:067","415551910507","   0.060","  51.822"," 3503"," 3300"," 3700"," 3900","  31.970","   2.145","   0.596","  27.112","   1.741","   0.483"," 97","0"," 90"," 98","   1.966","   0.153","   0.042","  45.000","    0","    0"
"22:05:19:087","415610577660","   0.080","  42.195"," 3502"," 3400"," 3600"," 3900","  29.931","   2.749","   0.764","  25.251","   2.251","   0.625"," 97","0"," 90"," 99","   1.737","   0.188","   0.052","  45.000","    0","    0"
"22:05:19:109","415673919422","   0.102","  44.052"," 3492"," 3400"," 3500"," 3900","  31.083","   3.427","   0.952","  25.906","   2.816","   0.782"," 97","0"," 90"," 98","   1.869","   0.228","   0.063","  45.000","    0","    0"
"22:05:19:130","415735051013","   0.123","  59.639"," 3492"," 3400"," 3600"," 3900","  33.845","   4.140","   1.150","  29.258","   3.432","   0.953","100","0"," 90","100","   2.157","   0.274","   0.076","  45.000","    0","    0"
"22:05:19:152","415797730990","   0.145","  79.810"," 3493"," 3400"," 3600"," 3900","  37.016","   4.939","   1.372","  33.046","   4.145","   1.151","100","0"," 92","100","   2.291","   0.323","   0.090","  45.000","    0","    0"
"22:05:19:172","415855886373","   0.165","  62.871"," 3495"," 3400"," 3600"," 3900","  35.799","   5.656","   1.571","  31.359","   4.773","   1.326","100","0"," 94","100","   1.877","   0.361","   0.100","  45.000","    0","    0"
"22:05:19:192","415914585846","   0.185","  44.087"," 3468"," 3300"," 3500"," 3900","  32.113","   6.305","   1.751","  27.182","   5.322","   1.478","100","0"," 95","100","   1.724","   0.396","   0.110","  45.000","    0","    0"
"22:05:19:212","415972748427","   0.205","  42.133"," 3489"," 2700"," 3500"," 3900","  29.231","   6.890","   1.914","  24.111","   5.805","   1.613"," 99","0"," 91","100","   1.560","   0.427","   0.119","  45.000","    0","    0"
"22:05:19:232","416031124746","   0.225","  21.317"," 3482"," 2400"," 3500"," 3900","  20.322","   7.299","   2.027","  15.118","   6.109","   1.697"," 96","0"," 87","100","   1.105","   0.449","   0.125","  45.000","    0","    0"
"22:05:19:252","416089750004","   0.245","  26.016"," 3470"," 1600"," 3600"," 3841","  22.288","   7.749","   2.152","  17.787","   6.468","   1.797"," 98","0"," 86","100","   1.119","   0.472","   0.131","  45.000","    0","    0"
"22:05:19:272","416148304568","   0.266","  16.115"," 3511"," 2500"," 3600"," 3876","  15.792","   8.067","   2.241","  11.297","   6.696","   1.860"," 95","0"," 86"," 99","   1.102","   0.494","   0.137","  45.000","    0","    0"
"22:05:19:294","416212185473","   0.288","  21.846"," 3541"," 2400"," 3600"," 3900","  19.864","   8.504","   2.362","  15.491","   7.037","   1.955"," 93","0"," 85"," 97","   1.149","   0.519","   0.144","  45.000","    0","    0"
"22:05:19:315","416270680227","   0.308","  23.844"," 3519"," 2400"," 3600"," 3900","  21.335","   8.934","   2.482","  17.114","   7.381","   2.050"," 95","0"," 85"," 97","   1.212","   0.544","   0.151","  45.000","    0","    0"
"22:05:19:335","416329303045","   0.328","  28.710"," 3488"," 2600"," 3500"," 3881","  23.393","   9.406","   2.613","  19.069","   7.766","   2.157"," 97","0"," 86"," 99","   1.085","   0.566","   0.157","  45.000","    0","    0"
"22:05:19:355","416387889049","   0.348","  39.878"," 3492"," 3400"," 3500"," 3900","  29.147","   9.994","   2.776","  24.696","   8.265","   2.296"," 98","0"," 86"," 99","   1.380","   0.593","   0.165","  45.000","    0","    0"
"22:05:19:375","416446286944","   0.368","  63.376"," 3495"," 3400"," 3600"," 3900","  36.176","  10.721","   2.978","  30.103","   8.870","   2.464"," 99","0"," 90"," 99","   1.861","   0.631","   0.175","  45.000","    0","    0"
"22:05:19:395","416504467624","   0.388","  47.067"," 3492"," 3400"," 3500"," 3900","  32.716","  11.377","   3.160","  28.287","   9.437","   2.621","100","0"," 91","100","   1.289","   0.657","   0.182","  45.000","    0","    0"
"22:05:19:415","416562657718","   0.408","  49.759"," 3435"," 3200"," 3500"," 3900","  31.182","  12.002","   3.334","  26.668","   9.971","   2.770","100","0"," 91","100","   1.529","   0.687","   0.191","  45.000","    0","    0"
"22:05:19:435","416620991298","   0.428","  69.163"," 3399"," 3200"," 3500"," 3900","  35.456","  12.714","   3.532","  30.980","  10.593","   2.943","100","0"," 94","100","   2.270","   0.733","   0.204","  45.000","    0","    0"
"22:05:19:455","416679531618","   0.448","  53.027"," 3314"," 3200"," 3600"," 3900","  28.685","  13.292","   3.692","  24.062","  11.078","   3.077"," 99","0"," 90","100","   1.629","   0.766","   0.213","  45.000","    0","    0"
"22:05:19:475","416737666554","   0.468","  27.025"," 3409"," 2700"," 3500"," 3900","  21.632","  13.725","   3.813","  17.345","  11.426","   3.174"," 96","0"," 87","100","   1.134","   0.788","   0.219","  45.000","    0","    0"
"22:05:19:495","416795779676","   0.488","  20.966"," 3471"," 2400"," 3500"," 3900","  18.556","  14.097","   3.916","  14.152","  11.709","   3.252"," 94","0"," 86"," 98","   0.878","   0.806","   0.224","  45.000","    0","    0"
"22:05:19:515","416853986791","   0.509","  11.168"," 2748"," 1200"," 3500"," 2970","  10.432","  14.306","   3.974","   6.026","  11.830","   3.286"," 89","0"," 85"," 95","   0.810","   0.822","   0.228","  45.000","    0","    0"
"22:05:19:535","416912286787","   0.529","  14.432"," 1814"," 1200"," 2400"," 1830","   6.223","  14.431","   4.009","   2.119","  11.872","   3.298"," 88","0"," 84"," 89","   0.836","   0.839","   0.233","  45.000","    0","    0"
"22:05:19:556","416972792655","   0.549","  36.111"," 2548"," 1300"," 2900"," 2567","  15.265","  14.749","   4.097","  10.177","  12.084","   3.357"," 90","0"," 83"," 90","   1.251","   0.865","   0.240","  45.000","    0","    0"
"22:05:19:579","417037228707","   0.572","  12.975"," 3206"," 1800"," 3500"," 3267","  12.205","  15.020","   4.172","   7.966","  12.261","   3.406"," 90","0"," 84"," 96","   0.721","   0.881","   0.245","  45.000","    0","    0"
"22:05:19:599","417095615998","   0.592","  28.469"," 2699"," 1200"," 3400"," 2722","  14.811","  15.317","   4.255","  10.965","  12.481","   3.467"," 93","0"," 83"," 93","   1.050","   0.902","   0.251","  45.000","    0","    0"
"22:05:19:620","417157712708","   0.613","  18.249"," 2923"," 1900"," 3400"," 3208","  12.180","  15.578","   4.327","   7.638","  12.645","   3.512"," 88","0"," 83"," 93","   1.073","   0.925","   0.257","  45.000","    0","    0"
"22:05:19:640","417215797235","   0.633","  22.550"," 2726"," 2000"," 2800"," 2900","  10.973","  15.797","   4.388","   7.418","  12.793","   3.554"," 88","0"," 82"," 88","   1.080","   0.947","   0.263","  45.000","    0","    0"
"22:05:19:662","417280037553","   0.655","  14.719"," 2629"," 1200"," 2900"," 3023","   9.886","  16.016","   4.449","   4.743","  12.898","   3.583"," 86","0"," 82"," 89","   0.971","   0.968","   0.269","  45.000","    0","    0"
"22:05:19:683","417340059708","   0.676","   7.926"," 1592"," 1200"," 2500"," 1580","   5.555","  16.131","   4.481","   1.417","  12.927","   3.591"," 84","0"," 81"," 86","   0.659","   0.982","   0.273","  45.000","    0","    0"
"22:05:19:704","417400920671","   0.697","  14.521"," 2183"," 1200"," 2400"," 2190","   7.601","  16.290","   4.525","   3.250","  12.995","   3.610"," 84","0"," 81"," 86","   0.792","   0.998","   0.277","  45.000","    0","    0"
"22:05:19:725","417462589459","   0.718","  14.432"," 2323"," 1200"," 2900"," 2361","   8.631","  16.473","   4.576","   4.400","  13.089","   3.636"," 84","0"," 80"," 87","   0.859","   1.017","   0.282","  45.000","    0","    0"
"22:05:19:747","417527037533","   0.740","   8.264"," 1721"," 1200"," 2800"," 1688","   5.346","  16.592","   4.609","   1.309","  13.118","   3.644"," 83","0"," 80"," 84","   0.729","   1.033","   0.287","  45.000","    0","    0"
"22:05:19:767","417585460685","   0.760","  14.077"," 1793"," 1200"," 2400"," 1822","   6.268","  16.718","   4.644","   2.203","  13.162","   3.656"," 83","0"," 79"," 83","   0.865","   1.050","   0.292","  45.000","    0","    0"
"22:05:19:790","417649931607","   0.783","   4.539"," 1528"," 1200"," 2200"," 1470","   4.795","  16.825","   4.673","   0.806","  13.180","   3.661"," 82","0"," 79"," 83","   0.610","   1.064","   0.295","  45.000","    0","    0"
"22:05:19:810","417708287993","   0.803","  10.304"," 1879"," 1200"," 2400"," 1928","   6.056","  16.946","   4.707","   2.090","  13.222","   3.673"," 82","0"," 79"," 82","   0.802","   1.080","   0.300","  45.000","    0","    0"
"22:05:19:830","417767111403","   0.823","  10.225"," 1793"," 1200"," 2400"," 1808","   5.849","  17.065","   4.740","   1.880","  13.260","   3.683"," 82","0"," 79"," 83","   0.774","   1.096","   0.304","  45.000","    0","    0"
"22:05:19:850","417825476723","   0.843","  13.066"," 2354"," 1600"," 2700"," 2394","   8.145","  17.228","   4.786","   3.693","  13.334","   3.704"," 82","0"," 78"," 83","   0.969","   1.115","   0.310","  45.000","    0","    0"
"22:05:19:871","417887739764","   0.864","   3.289"," 1370"," 1200"," 2200"," 1300","   4.515","  17.325","   4.813","   0.518","  13.346","   3.707"," 81","0"," 78"," 82","   0.601","   1.128","   0.313","  45.000","    0","    0"
"22:05:19:893","417951397720","   0.886","   2.703"," 1301"," 1200"," 1500"," 1300","   4.243","  17.418","   4.838","   0.315","  13.352","   3.709"," 80","0"," 78"," 81","   0.582","   1.141","   0.317","  45.000","    0","    0"
"22:05:19:914","418010163992","   0.907","   5.560"," 1303"," 1200"," 1500"," 1300","   4.358","  17.506","   4.863","   0.467","  13.362","   3.712"," 80","0"," 77"," 80","   0.633","   1.154","   0.320","  45.000","    0","    0"
"22:05:19:935","418073894755","   0.929","   9.913"," 1756"," 1200"," 2400"," 1766","   5.968","  17.637","   4.899","   1.822","  13.402","   3.723"," 81","0"," 77"," 82","   0.795","   1.171","   0.325","  45.000","    0","    0"
"22:05:19:956","418132458480","   0.949","  14.888"," 2080"," 1200"," 2600"," 2120","   7.016","  17.779","   4.939","   3.072","  13.464","   3.740"," 80","0"," 77"," 82","   0.908","   1.189","   0.330","  45.000","    0","    0"
"22:05:19:978","418196884035","   0.971","   3.762"," 1657"," 1200"," 2400"," 1626","   4.699","  17.883","   4.968","   0.625","  13.478","   3.744"," 80","0"," 77"," 82","   0.619","   1.203","   0.334","  45.000","    0","    0"
"22:05:20:000","418261322801","   0.993","   2.201"," 1299"," 1200"," 1400"," 1300","   4.126","  17.975","   4.993","   0.223","  13.483","   3.745"," 79","0"," 77"," 80","   0.578","   1.216","   0.338","  45.000","    0","    0"
"22:05:20:022","418325731758","   1.015","   4.443"," 1456"," 1200"," 1900"," 1447","   4.538","  18.075","   5.021","   0.622","  13.496","   3.749"," 79","0"," 76"," 80","   0.600","   1.229","   0.341","  45.000","    0","    0"
"22:05:20:044","418389273303","   1.037","  39.784"," 1693"," 1200"," 2400"," 1709","   7.540","  18.240","   5.067","   3.275","  13.568","   3.769"," 80","0"," 76"," 81","   1.001","   1.251","   0.348","  45.000","    0","    0"
"22:05:20:064","418448117505","   1.057","  44.190"," 1964"," 1200"," 2400"," 1976","   9.798","  18.439","   5.122","   5.515","  13.680","   3.800"," 82","0"," 76"," 82","   1.304","   1.277","   0.355","  45.000","    0","    0"
"22:05:20:086","418509709880","   1.079","   5.269"," 1714"," 1200"," 2900"," 1629","   4.760","  18.540","   5.150","   0.794","  13.697","   3.805"," 79","0"," 77"," 82","   0.630","   1.291","   0.359","  45.000","    0","    0"
"22:05:20:106","418568543448","   1.099","  79.164"," 2340"," 1200"," 2900"," 2418","  17.010","  18.884","   5.246","  12.897","  13.958","   3.877"," 84","0"," 76"," 85","   1.928","   1.330","   0.369","  45.000","    0","    0"
"22:05:20:126","418627734902","   1.119","  13.185"," 2995"," 2200"," 3400"," 3400","  12.532","  19.140","   5.317","   8.133","  14.124","   3.923"," 83","0"," 78"," 84","   0.665","   1.343","   0.373","  45.000","    0","    0"
"22:05:20:146","418685881694","   1.139","  66.192"," 3342"," 2500"," 3400"," 3481","  28.760","  19.716","   5.477","  24.231","  14.609","   4.058"," 90","0"," 78"," 90","   2.125","   1.386","   0.385","  45.000","    0","    0"
"22:05:20:167","418745257217","   1.160","  45.459"," 3276"," 2300"," 3400"," 3894","  23.189","  20.190","   5.608","  18.532","  14.988","   4.163"," 87","0"," 81"," 91","   1.594","   1.419","   0.394","  45.000","    0","    0"
"22:05:20:187","418803390138","   1.180","  26.301"," 3161"," 1200"," 3500"," 3675","  17.913","  20.548","   5.708","  14.294","  15.274","   4.243"," 86","0"," 80"," 87","   1.153","   1.442","   0.400","  45.000","    0","    0"
"22:05:20:207","418861506337","   1.200","  72.169"," 3317"," 3200"," 3400"," 3900","  32.307","  21.195","   5.887","  27.119","  15.817","   4.394"," 91","0"," 81"," 92","   2.193","   1.486","   0.413","  45.000","    0","    0"
"22:05:20:227","418919620548","   1.220","  29.737"," 3462"," 2600"," 3500"," 3891","  23.802","  21.671","   6.020","  19.383","  16.205","   4.501"," 89","0"," 83"," 92","   1.147","   1.508","   0.419","  45.000","    0","    0"
"22:05:20:247","418978004068","   1.240","  62.826"," 3476"," 2600"," 3500"," 3896","  28.410","  22.242","   6.178","  24.812","  16.703","   4.640"," 94","0"," 82"," 94","   1.867","   1.546","   0.429","  45.000","    0","    0"
"22:05:20:267","419036372284","   1.260","  44.052"," 3404"," 2500"," 3500"," 3900","  26.835","  22.782","   6.328","  21.166","  17.129","   4.758"," 90","0"," 86"," 94","   1.731","   1.581","   0.439","  45.000","    0","    0"
"22:05:20:287","419094564532","   1.280","  23.668"," 3331"," 1200"," 3500"," 3758","  19.886","  23.180","   6.439","  16.445","  17.458","   4.850"," 91","0"," 82"," 93","   1.115","   1.603","   0.445","  45.000","    0","    0"
"22:05:20:307","419153019210","   1.300","  69.585"," 3432"," 1200"," 3500"," 3888","  36.126","  23.907","   6.641","  29.958","  18.061","   5.017"," 95","0"," 85"," 95","   2.220","   1.648","   0.458","  45.000","    0","    0"
"22:05:20:327","419211207100","   1.320","  21.512"," 3391"," 2600"," 3600"," 3900","  19.276","  24.294","   6.748","  14.941","  18.361","   5.100"," 90","0"," 83"," 95","   1.075","   1.669","   0.464","  45.000","    0","    0"
"22:05:20:347","419269520378","   1.340","  64.779"," 3489"," 2600"," 3600"," 3900","  30.578","  24.908","   6.919","  26.061","  18.884","   5.246"," 96","0"," 82"," 96","   2.146","   1.712","   0.476","  45.000","    0","    0"
"22:05:20:367","419327915081","   1.360","  44.136"," 3389"," 2800"," 3500"," 3900","  25.997","  25.430","   7.064","  21.554","  19.318","   5.366"," 93","0"," 86"," 97","   1.509","   1.743","   0.484","  45.000","    0","    0"
"22:05:20:387","419386324598","   1.381","  16.827"," 2657"," 1200"," 3500"," 2717","  10.357","  25.639","   7.122","   6.282","  19.444","   5.401"," 87","0"," 82"," 96","   0.901","   1.761","   0.489","  45.000","    0","    0"
"22:05:20:408","419445003145","   1.401","  77.013"," 2846"," 1300"," 3200"," 3027","  24.449","  26.133","   7.259","  19.803","  19.844","   5.512"," 92","0"," 82"," 93","   2.302","   1.807","   0.502","  45.000","    0","    0"
"22:05:20:428","419503132321","   1.421","  44.567"," 3282"," 3000"," 3300"," 3900","  24.775","  26.629","   7.397","  20.210","  20.249","   5.625"," 91","0"," 85"," 93","   1.668","   1.841","   0.511","  45.000","    0","    0"
"22:05:20:448","419561269361","   1.441","  65.674"," 3396"," 1200"," 3500"," 3827","  29.323","  27.216","   7.560","  25.582","  20.761","   5.767"," 95","0"," 83"," 95","   2.040","   1.882","   0.523","  45.000","    0","    0"
"22:05:20:468","419619648043","   1.461","  34.389"," 3441"," 1900"," 3700"," 3834","  24.866","  27.716","   7.699","  19.665","  21.156","   5.877"," 91","0"," 85"," 97","   1.312","   1.908","   0.530","  45.000","    0","    0"
"22:05:20:488","419677972971","   1.481","  24.388"," 3193"," 1200"," 3600"," 3612","  17.371","  28.065","   7.796","  14.149","  21.440","   5.956"," 91","0"," 84"," 93","   0.836","   1.925","   0.535","  45.000","    0","    0"
"22:05:20:508","419736174562","   1.501","  67.952"," 3462"," 1800"," 3500"," 3871","  35.180","  28.770","   7.992","  29.772","  22.037","   6.121"," 96","0"," 84"," 97","   2.013","   1.965","   0.546","  45.000","    0","    0"
"22:05:20:528","419794292365","   1.521","  30.197"," 3229"," 1800"," 3600"," 3649","  21.028","  29.190","   8.108","  17.295","  22.383","   6.217"," 92","0"," 86"," 95","   0.811","   1.981","   0.550","  45.000","    0","    0"
"22:05:20:548","419852394387","   1.541","  31.477"," 3436"," 1200"," 3500"," 3855","  25.097","  29.693","   8.248","  20.305","  22.789","   6.330"," 93","0"," 86"," 94","   1.501","   2.011","   0.559","  45.000","    0","    0"
"22:05:20:568","419910570529","   1.561","  24.306"," 3455"," 2600"," 3500"," 3900","  21.421","  30.122","   8.367","  17.101","  23.132","   6.426"," 92","0"," 85"," 93","   0.929","   2.030","   0.564","  45.000","    0","    0"
"22:05:20:588","419968711923","   1.581","  24.529"," 3450"," 2600"," 3500"," 3889","  21.151","  30.545","   8.485","  16.919","  23.471","   6.520"," 92","0"," 85"," 93","   0.783","   2.046","   0.568","  45.000","    0","    0"
"22:05:20:608","420026958733","   1.601","  25.573"," 3464"," 2600"," 3600"," 3889","  22.543","  30.997","   8.610","  17.257","  23.817","   6.616"," 91","0"," 84"," 93","   1.193","   2.070","   0.575","  45.000","    0","    0"
"22:05:20:628","420085238704","   1.621","  20.927"," 3424"," 2600"," 3500"," 3873","  19.428","  31.387","   8.719","  15.048","  24.119","   6.700"," 90","0"," 84"," 92","   1.116","   2.092","   0.581","  45.000","    0","    0"
"22:05:20:648","420143364813","   1.641","  37.205"," 3440"," 2100"," 3500"," 3877","  24.514","  31.878","   8.855","  19.982","  24.519","   6.811"," 94","0"," 84"," 94","   1.473","   2.122","   0.589","  45.000","    0","    0"
"22:05:20:668","420201529598","   1.661","  32.984"," 3442"," 1800"," 3800"," 3829","  22.965","  32.338","   8.983","  18.363","  24.886","   6.913"," 91","0"," 85"," 96","   1.353","   2.149","   0.597","  45.000","    0","    0"
"22:05:20:688","420259835254","   1.681","  34.061"," 3489"," 2800"," 3600"," 3900","  25.292","  32.846","   9.124","  21.088","  25.310","   7.031"," 95","0"," 84"," 95","   1.356","   2.176","   0.604","  45.000","    0","    0"
"22:05:20:708","420318104813","   1.701","  72.038"," 3495"," 3400"," 3600"," 3900","  35.796","  33.564","   9.323","  30.507","  25.922","   7.201"," 96","0"," 88","100","   2.360","   2.223","   0.618","  45.000","    0","    0"
"22:05:20:729","420377146949","   1.722","  26.056"," 3511"," 3400"," 3600"," 3900","  22.482","  34.021","   9.450","  18.592","  26.300","   7.306"," 93","0"," 87"," 96","   0.844","   2.240","   0.622","  45.000","    0","    0"
"22:05:20:749","420435290540","   1.742","  72.212"," 3447"," 2200"," 3500"," 3884","  33.039","  34.682","   9.634","  28.603","  26.873","   7.465"," 98","0"," 87"," 98","   2.064","   2.282","   0.634","  45.000","    0","    0"
"22:05:20:769","420493536006","   1.762","  31.623"," 3504"," 2200"," 3700"," 3891","  23.082","  35.145","   9.763","  18.058","  27.235","   7.565"," 92","0"," 88"," 98","   1.372","   2.309","   0.641","  45.000","    0","    0"
"22:05:20:789","420551975791","   1.782","  29.204"," 3273"," 1200"," 3600"," 3699","  18.255","  35.513","   9.865","  14.619","  27.529","   7.647"," 93","0"," 84"," 93","   1.095","   2.331","   0.648","  45.000","    0","    0"
"22:05:20:809","420610887323","   1.802","  69.234"," 3495"," 2800"," 3700"," 3900","  35.042","  36.224","  10.062","  28.733","  28.112","   7.809"," 96","0"," 87"," 98","   2.374","   2.379","   0.661","  45.000","    0","    0"
"22:05:20:830","420670430794","   1.823","  23.992"," 3491"," 3000"," 3600"," 3900","  22.534","  36.686","  10.190","  18.718","  28.496","   7.915"," 94","0"," 86"," 96","   0.848","   2.397","   0.666","  45.000","    0","    0"
"22:05:20:850","420728582589","   1.843","  76.857"," 3468"," 1900"," 3700"," 3885","  35.058","  37.388","  10.385","  30.974","  29.116","   8.088","100","0"," 87","100","   2.188","   2.441","   0.678","  45.000","    0","    0"
"22:05:20:870","420786874021","   1.863","  39.884"," 3492"," 3400"," 3500"," 3900","  28.522","  37.960","  10.545","  23.106","  29.580","   8.217"," 98","0"," 87","100","   1.566","   2.472","   0.687","  45.000","    0","    0"
"22:05:20:890","420845346686","   1.883","  46.951"," 3490"," 3300"," 3500"," 3900","  28.897","  38.542","  10.706","  25.126","  30.086","   8.357"," 99","0"," 89"," 99","   1.504","   2.502","   0.695","  45.000","    0","    0"
"22:05:20:910","420903650961","   1.903","  75.315"," 3492"," 3400"," 3500"," 3900","  38.444","  39.314","  10.921","  32.933","  30.747","   8.541","100","0"," 92","100","   2.046","   2.543","   0.706","  45.000","    0","    0"
"22:05:20:930","420961782429","   1.923","  22.579"," 3492"," 3400"," 3500"," 3900","  22.130","  39.757","  11.044","  18.081","  31.109","   8.641"," 95","0"," 89","100","   0.607","   2.556","   0.710","  45.000","    0","    0"
"22:05:20:951","421024080087","   1.945","  79.021"," 3485"," 3300"," 3500"," 3900","  38.134","  40.575","  11.271","  33.129","  31.820","   8.839","100","0"," 90","100","   1.713","   2.592","   0.720","  45.000","    0","    0"
"22:05:20:972","421082795277","   1.965","  29.415"," 3483"," 3300"," 3600"," 3891","  26.462","  41.110","  11.419","  21.605","  32.256","   8.960"," 98","0"," 90","100","   1.005","   2.613","   0.726","  45.000","    0","    0"
"22:05:20:992","421140966400","   1.985","  56.920"," 3502"," 3400"," 3700"," 3900","  33.812","  41.787","  11.608","  29.769","  32.853","   9.126","100","0"," 90","100","   1.487","   2.642","   0.734","  45.000","    0","    0"
"22:05:21:012","421199149389","   2.005","  58.617"," 3359"," 3100"," 3600"," 3900","  29.461","  42.378","  11.772","  24.276","  33.339","   9.261","100","0"," 90","100","   1.505","   2.673","   0.742","  45.000","    0","    0"
"22:05:21:032","421258028538","   2.025","  78.375"," 3323"," 3100"," 3500"," 3900","  32.993","  43.047","  11.957","  29.221","  33.932","   9.425","100","0"," 90","100","   2.210","   2.717","   0.755","  45.000","    0","    0"
"22:05:21:052","421316586455","   2.045","  72.574"," 3203"," 3000"," 3300"," 3900","  33.577","  43.724","  12.145","  27.366","  34.483","   9.579"," 99","0"," 93","100","   2.349","   2.765","   0.768","  45.000","    0","    0"
"22:05:21:072","421374879591","   2.065","  78.448"," 3398"," 3200"," 3500"," 3900","  35.487","  44.436","  12.343","  30.835","  35.102","   9.751"," 99","0"," 92","100","   2.676","   2.818","   0.783","  45.000","    0","    0"
"22:05:21:092","421433036640","   2.085","  81.307"," 3415"," 3200"," 3500"," 3900","  36.743","  45.172","  12.548","  31.791","  35.739","   9.927","100","0"," 93","100","   2.862","   2.876","   0.799","  45.000","    0","    0"
"22:05:21:112","421491161355","   2.105","  85.683"," 3288"," 3100"," 3500"," 3900","  34.528","  45.863","  12.740","  29.588","  36.331","  10.092","100","0"," 94","100","   2.863","   2.933","   0.815","  45.000","    0","    0"
"22:05:21:132","421549296908","   2.125","  76.251"," 3283"," 3100"," 3400"," 3900","  33.324","  46.530","  12.925","  28.485","  36.901","  10.250"," 99","0"," 93","100","   2.674","   2.987","   0.830","  45.000","    0","    0"
"22:05:21:154","421611563073","   2.147","  71.700"," 3260"," 3100"," 3400"," 3900","  31.842","  47.213","  13.115","  27.916","  37.500","  10.417"," 99","0"," 93","100","   2.488","   3.040","   0.844","  45.000","    0","    0"
"22:05:21:174","421669716177","   2.167","  78.074"," 3290"," 3100"," 3400"," 3900","  34.000","  47.894","  13.304","  29.123","  38.083","  10.579","100","0"," 93","100","   2.661","   3.093","   0.859","  45.000","    0","    0"
"22:05:21:194","421728149043","   2.187","  77.271"," 3303"," 3100"," 3400"," 3900","  33.303","  48.564","  13.490","  28.613","  38.659","  10.739","100","0"," 93","100","   2.721","   3.148","   0.874","  45.000","    0","    0"
"22:05:21:214","421786272573","   2.207","  86.555"," 3293"," 3100"," 3400"," 3900","  34.178","  49.248","  13.680","  29.281","  39.245","  10.901","100","0"," 93","100","   2.781","   3.204","   0.890","  45.000","    0","    0"
"22:05:21:235","421846328217","   2.228","  78.318"," 3185"," 3000"," 3300"," 3900","  33.460","  49.940","  13.872","  27.347","  39.811","  11.058","100","0"," 93","100","   2.391","   3.253","   0.904","  45.000","    0","    0"
"22:05:21:255","421904633968","   2.248","  71.294"," 3208"," 3000"," 3300"," 3900","  31.804","  50.578","  14.050","  27.055","  40.354","  11.209","100","0"," 93","100","   2.511","   3.303","   0.918","  45.000","    0","    0"
"22:05:21:275","421962836225","   2.268","  72.272"," 3189"," 3000"," 3300"," 3900","  31.416","  51.208","  14.224","  26.957","  40.894","  11.359","100","0"," 94","100","   1.818","   3.340","   0.928","  45.000","    0","    0"
"22:05:21:295","422021039528","   2.288","  67.842"," 3136"," 2900"," 3200"," 3900","  30.298","  51.815","  14.393","  25.705","  41.409","  11.503"," 99","0"," 93","100","   2.427","   3.389","   0.941","  45.000","    0","    0"
"22:05:21:316","422082895129","   2.309","  66.151"," 3097"," 2900"," 3200"," 3900","  29.334","  52.440","  14.567","  25.010","  41.942","  11.651"," 99","0"," 93","100","   2.186","   3.435","   0.954","  45.000","    0","    0"
"22:05:21:336","422141077309","   2.329","  66.876"," 3131"," 2900"," 3200"," 3900","  32.356","  53.088","  14.747","  26.074","  42.464","  11.796","100","0"," 93","100","   2.544","   3.486","   0.968","  45.000","    0","    0"
"22:05:21:356","422199811345","   2.349","  77.805"," 3046"," 2000"," 3200"," 3878","  28.693","  53.669","  14.908","  24.082","  42.951","  11.931","100","0"," 92","100","   2.463","   3.536","   0.982","  45.000","    0","    0"
"22:05:21:376","422258139147","   2.369","  25.619"," 3159"," 2800"," 3500"," 3900","  18.175","  54.034","  15.009","  13.912","  43.231","  12.009"," 99","0"," 90","100","   1.228","   3.561","   0.989","  45.000","    0","    0"
"22:05:21:396","422316415754","   2.390","  57.474"," 3303"," 2800"," 3600"," 3895","  28.249","  54.601","  15.167","  23.894","  43.710","  12.142","100","0"," 87","100","   1.931","   3.599","   1.000","  45.000","    0","    0"
"22:05:21:417","422375125847","   2.410","  68.182"," 3317"," 3100"," 3500"," 3900","  32.934","  55.266","  15.352","  28.219","  44.281","  12.300"," 99","0"," 92","100","   2.337","   3.647","   1.013","  45.000","    0","    0"
